siteName,regex,matchName
Chambers Farm Wood,Minting Wood,Minting Wood
Chapel Hill,Chapel Hill,Chapel Hill
Chapel St Leonards,Chapel Point|North Sea Observatory,Chapel Point
Chapel St Leonards,Chapel S(ain)?t\.? Leonards,Chapel St. Leonards
Cherry Willingham,\bCherry\b,Cherry Willingham
Cherry Willingham,Willingham Fen,Willingham Fen
Claxby nr Market Rasen,^(?!.*St Andrew).*\bClaxby\b,Claxby
Claxby St Andrew,^(?!.*Market Rasen).*\bClaxby\b,Claxby St Andrew
Claxby St Andrew,Hoplands Wood,Hoplands Wood
Claxby St Andrew,Mill Hill Quarry,Mill Hill Quarry
Claypole,\bClaypole\b,Claypole
Claythorpe,\bClaythorpe\b,Claythorpe
Cleatham,\bCleatham\b,Cleatham
Cleethorpes,Buck Beck,Buck Beck Outfall
Cleethorpes,Chapman'?s Pond,Chapman's Pond
Cleethorpes,\bCleethor?pr?e?s\b,Cleethorpes
Cleethorpes,Boating Lake,Cleethorpes Boating Lake
Cleethorpes,Marine Walk|Promenade,Maine Walk \ Promenade
Cleethorpes,Meridian Showground,Meridian Showground
Cleethorpes,North Walls,North Walls
Coates,^(?!.*Great)\bCoates\b,Coates
Cold Hanworth,Cold Hanworth,Cold Hanworth
Coleby (Lincoln),^(?!.*Scunthorpe).*\bColeby\b,Coleby- .Lincoln.
Coleby (Scunthorpe),^(?!.*Lincoln).*\bColeby\b,Coleby - Scunthorpe
Colsterworth,^(?!.*(Gunby|Woolsthorpe)).*Colsterworth,Colsterworth
Colsterworth,\blandfill\b,Colsterworth Landfill
Colsterworth,Twyford Woods?,Twyford Woods
Coningsby,\bConingsby\b,Coningsby
Coningsby,Gibbet Nook,Gibbet Nook
Conisholme,\bConisholme\b,Conisholme
Corby Glen,Corby Glen,Corby Glen
Corringham,^(?!.*Grantham).*\bAisby\b,Aisby Gainsborough
Corringham,\bCorringham\b,Corringham
Covenham,\bCovenham\b,Covenham Reservoir
Cowbit,Brotherhouse Bar,Brotherhouse Bar
Cowbit,^(?!.*Wash).*\bCowbit\b,Cowbit
Cranwell,Byard'?s Leap,Byard's Leap
Cranwell,\bCranwell\b,Cranwell
Creeton,\bCounthorpe\b,Countthorpe
Creeton,\bCreeton\b,Creeton
Croft,Breedon Scrape,Breedon Scrape
Croft,Cow\s?Bank,Cow Bank Drain
Croft,\bCroft\b,Croft
Gibraltar Point,Croft\s?Marsh,Croft Marsh
Crowland,River Welland,River Welland (G Hardy)
Crowland,^(?!.*Wash).*Crowland,Crowland
Deeping High Bank and Crowland Washlands,Deeping High\s?Bank,Deeping High Bank
Crowland,Renews Drove,Renews Drove
Crowland,^(?!.*Pits?)Welland Bank,Welland Bank
Crowle,\bCrowle\b,Crowle Village
Crowle,Dirtness Levels,Dirtness Levels
Crowle,\bEaland\b,Ealand
Crowle,Medge Hall,Medge Hall
Crowle,Seven Lakes Country Park,Seven Lakes Country park
Croxby,\bCroxby\b,Croxby
Croxton,\bCroxton\b,Croxton
Culverthorpe,\bCulverthorpe\b,Culverthorpe
Cumberworth,\bCumberworth\b,Cumberworth
Cuxwold,\bCuxwold\b,Cuxwold
Dalby,\bDalby\b,Dalby
Dalderby,\bDalderby\b,Dalderby
Dawsmere,\bDawsmere\b,Dawsmere
Dawsmere,Holbeach (Bombing )Range,Holbeach Range
Dawsmere,Oldershaws,Oldershaws
Deeping Common,Deeping Common,Deeping Common
Deeping Lakes,Deepings? Lakes?,Deeping Lakes
Deeping St James,Deeping S(ain)?t\.? James,Deeping St James
Deeping St James,\bFrognall\b,Frognall
Deeping St James,The Mere,The Mere Heronry
Deeping Lakes,Welland Bank (Pits?|NR),Welland bank
Deeping St Nicholas,Cowbit Common,Cowbit Common
Cradge Bank and Cowbit Washes,Cradge Bank,Cradge Bank
Deeping St Nicholas,Deeping Fen,Deeping Fen
Deeping St Nicholas,Deeping S(ain)?t\.? Nicholas,Deeping St. Nicholas
Deeping St Nicholas,Four Mile Bar,Four Mile Bar
Deeping St Nicholas,Hop Pole,Hop Pole
Deeping St Nicholas,(North|South) Drove(/sDrain)?,North Drove Drain
Deeping St Nicholas,\bStowgate\b,Stowgate
Deeping St Nicholas,Vine House,Vine House Farm
Dembleby,\bDembleby\b,Dembleby
Denton,\bDenton\b,Denton
Digby,^(?!.*(RAF|Airfield)).*\bDigby\b,Digby
Doddington,^(?!.*Dry).*\bDoddington\b,Doddington
Dogdyke,\bDogdyke\b,Dogdyke
Doncaster,Badger Corner,Badger Corner (Doncs)
Doncaster,Crowle Moor,Crowle Moor
Doncaster,Hatfield Moors?,Hatfield Moors
Doncaster,Packards,Packards Trail S. Yorks
Doncaster,Thorne Moors?,Thorne Moor
Donington,^(?!.*Bain).*\bDonington\b,Donington
Donington,^(?!.*Gainsborough).*\bNorthorpe\b,Northorpe
Donington on Bain,Donn?ington on Bain,Donington on Bain
Donington on Bain,Stenigot Tower,Stenigot Tower
Donington on Bain,Welsdale Bottom,Welsdale Bottom
Donna Nook,Donna Nook,Donna Nook NNR
Donna Nook,Howden'?s? Pull(-|\s)?over,Howden's Pullover
Donna Nook,Humber Mouth,Humber Mouth
Donna Nook,Ponderosa,Ponderosa
Donna Nook,Pye'?s Hall,Pye's Hall
Donna Nook,Somerco(a)?tes Haven,Somercotes Haven
Donna Nook,Stonebridge,Stonebridge
Dorrington,\bDorrington\b,Dorrington
Dowsby,Aslackby Fen,Aslackby Fen
Dowsby,\bDowsby\b,Dowsby
Dowsdale,Daniel'?s Drove,Daniel's Drove
Dowsdale,\bDowsdale\b,Dowsdale
Driby,\bDriby\b,Driby
Dry Doddington,Dry Doddington,Dry Doddington
Dunholme,\bDunholme\b,Dunholme
Dunholme,Monk'?s Wood,Monks Wood
Dunholme,Pickering'?s? Meadow,Pickering's Meadow
Dunsby,\bDunsby\b,Dunsby
Dunsby,Ringstone Wood,Ringstone Wood
Dunston,\bDunst(o|a)n\b,Dunston
Eagle,Beehive Lane,Beehive Lane
Eagle,\bEagle\b,Eagle
Eagle,Hurn Wood,Hurn Wood
Eagle,Job'?s La?n\.?e?,Job's Lane
East Barkwith,East Barkwith,East Barkwith
East Barkwith,\bPanton\b,Panton
East Butterwick,East Butterwick,East Butterwick
East Ferry,East Ferry,East Ferry
East Halton,E\.?(ast)? Halton,East Halton
East Halton,Halton Marsh(es)?,Halton Marshes
East Halton,Red House Farm,Red House Farm
East Halton,Winter'?s (Pond|Pool|Pit),Winter's Pond
East Heckington,East Heckington,East Heckington
East Keal,East Keal,East Keal
East Keal,Keal Carr,Keal Carr LWT  N R
East Kirkby,East Kirkby,East Kirkby
East Lound,East Lound,East Lound
East Lound,Thurnholmes Farm,Thurnholmes Farm
East Ravendale,East Ravendale,East Ravendale
East Riding of Yorkshire,Adlingfleet Ings,Adlingfleet Ings
East Riding of Yorkshire,Blacktoft Sands?,Blacktoft Sands
East Riding of Yorkshire,\bBrough\b,Brough Airfield - S. yorks
East Riding of Yorkshire,\bFl?axfleet\b,Flaxfleet
East Riding of Yorkshire,Spurn Head,Spurn Head
East Riding of Yorkshire,Whitton Sand,Whitton Sands
East Riding of Yorkshire,\bWhitgift\b,
East Stockwith,East Stockwith,East Stockwith
East Torrington,East Torrington,East Torrington
Eastoft,\bEastoft\b,Eastoft
Easton,\bEaston\b,Easton
Eastville,\bEastville\b,Eastville
Edenham,\bEdenham\b,Edenham
Edenham,Gunboro Wood,Gunboro Wood
Edlington,\bEdlington\b,Edlington
Elsham,\bElsham\b,Elsham
Elsthorpe,\bElsthorpe\b,Elsthorpe
Elsthorpe,Spring Wood,Spring Wood
Epworth,^(?!.*Turbary).*\bEpworth\b,Epworth
Epworth,(Low|High) Melwood,Low/High Melwood
Epworth Turbary,Epworth Turbary,Epworth Turbary
Evedon,\bEvedon\b,Evedon
Evedon,\bHaverholme\b,Haverholme
Ewerby,Anwick Fen,Anwick Fen
Ewerby,\bEwerby\b,Ewerby
Faldingworth,\bFaldingworth\b,Faldingworth
Farforth,\bFarforth\b,Farforth
Farlesthorpe,\bFarlesthorpe\b,Farlesthorpe
Fenton (Beckingham),Barnby,Barnby Hall Farm
Fenton (Beckingham),^(?!.*Kettlethorpe)\bFenton\b,Fenton Beckingham
Fenton (Kettlethorpe),^(?!.*Beckingham).*\bFenton\b,Fenton Kettlethorpe
Fillingham,\bFillingham\b,Fillingham
Firsby,^(?!.*West)\bFirsby\b,Firsby
Fishtoft,\bFishtoft\b,Fishtoft
Fishtoft,Pilgrim Fathers Memorial,Pilgrim Fathers Memorial
Fishtoft,The Haven,Havenside Country Park
Fiskerton,\bFiskerton\b,Fiskerton
Fiskerton,Long Wood,Long Wood
Fiskerton,Water Rail Way,Water Rail Way
Fleet Fen,Fleet Fen,Fleet Fen
Fleet Hargate,Fleet Hargate,Fleet Hargate
Flixborough,Blue Lagoon|Normanby Enterprise Park,"Blue Lagoon, Normanby Enterprise Park"
Flixborough,\bFlixborough\b,Flixborough Industrial Estate
Flixborough,Neap House,Neap House
Fockerby,\bFockerby\b,Fockerby
Fockerby,\bGarthorpe\b,Garthorpe
Fockerby,Island Farm,Island Farm
Folkingham,^(?!.*(RAF|Airfield|Laughton|Walcot)).*\bFolkingham\b,Folkingham not RAF
Fosdyke,\bFosdyke\b,Fosdyke
Foston,Bell'?s Plantation,Bell's Plantation
Foston,\bFoston\b,Foston
Fotherby,\bFotherby\b,Fotherby
Frampton,(?<!RSPB\s)\bF(ra|ar)mpton\b(?!( RSPB| Marsh| Fen| West End)),"Frampton not Marsh,Fen or West End"
Frampton,Sandholme,Sandholme Lane
Frampton Fen,Frampton Fen,Frampton Fen
Frampton Marsh,^(?=(.*(F(ra|ar)mpton)))(?=.*(RSPB|Marsh)),Frampton Marsh
Frampton Marsh,Frampton West End,Frampton West End
Freiston,\bFr(ei|ie)ston\b,Freiston
Freiston,Haltoft End,Haltoft End
Freiston,Scrane End,Scrane End
Freiston,Tamworth Green,Tamworth Green
Friesthorpe,\bFriesthorpe\b,Friesthorpe
Friskney,\bFriskney\b,Friskney
Friskney,^(?!.*Point)\bHorseshoe\b,The Horseshoe
Frithville,Frith Bank,Frith Bank
Frithville,\bFrithville\b,Frithville
Fulbeck,\bFulbeck\b,Fulbeck
Fulletby,\bFulletby\b,Fulletby
Fulnetby,\bFulnetby\b,Fulnetby
Fulstow,\bFulstow\b,Fulstow
Fulstow,The Moorings,The Moorings
Gainsborough,^(?!.*(Morton|Northorpe)).*\bGainsborough\b,Gainsborough
Gainsborough,Thurlby Wood,Thurlby Wood
Gainsborough,Warren Wood,Warren Wood
Gate Burton,Gate Burton,Gate Burton
Gautby,\bGautby\b,Gautby
Gayton le Marsh,Gayton le Marsh,Gayton le Marsh
Gayton le Wold,Gayton le Wold,Gayton le Wold
Gedney,^(?!.*(Drove End|Dyke|Hill|Marsh))\bGedney\b,Gedney
Gedney,Gedney Broadgate,Gedney Broadgate
